program_title,popular_name,federal_agency,objectives
Local Food Promotion Program,LFPP,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To increase domestic consumption of and access to locally and regionally produced agricultural products, and to develop new market opportunities for farm and ranch operations serving local markets, by developing, improving, expanding, and providing outreach, training, and technical assistance to, or assisting in the development, improvement, and expansion of local and regional food business enterprises (including those that are not direct producer-to-consumer markets). These businesses must process, distribute, aggregate, or store locally or regionally produced food products. "
Sheep Production and Marketing Grant Program,Sheep Production and Marketing Grant Program (SPMGP),"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To develop projects that strengthen and enhance the production and marketing of sheep and sheep products in the United States, including through the improvement of infrastructure, business, resource development, and through the development of innovative approaches to solve long-term needs."
Acer Access Development Program,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To support the efforts of such States, tribal governments, and research institutions to promote the domestic maple syrup industry through the following activities:
(1)	Promotion of research and education related to maple syrup production.
(2)	Promotion of natural resource sustainability in the maple syrup industry.
(3)	Market promotion for maple syrup and maple-sap products.
(4)	Encouragement of owners and operators of privately held land containing species of trees in the genus Acer-
(A)	to initiate or expand maple-sugaring activities on the land; or
(B)	to voluntarily make the land available, including by lease or other means, for access by the public for maple-sugaring activities."
Farmers Market and Local Food Promotion Program,Farmers Market Promotion Program or Local Food Promotion Program,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","The Farmers Market and Local Food Promotion Program (FMLFPP) supports the development, coordination and expansion of local and regional food systems through two competitive grant programs: (1) Farmers Market Promotion Program (FMPP) and (2) Local Food Promotion Program (LFPP). 
FMPP grants fund direct producer-to-consumer marketing projects such as farmers markets, community-supported agriculture programs, roadside stands, and agritourism. FMPP accepts Capacity Building and Community Development, Training, and Technical Assistance grant project types to support domestic direct producer-to-consumer marketing channels.
LFPP grants fund local and regional food business enterprises that serve as intermediaries to process, distribute, aggregate, and store locally or regionally produced food products. LFPP accepts Planning and Implementation grant project types to support local and regional food businesses."
Dairy Business Innovation Initiatives,DBI Initiatives,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","The Dairy Business Innovation (DBI) Initiatives connects the Agricultural Marketing Service (AMS) with eligible entities to host DBI Initiatives to manage the program by supporting dairy businesses in the development, production, marketing, and distribution of dairy products.  These initiatives specifically focus on: (1) Diversifying dairy product markets to reduce risk and develop higher-value uses for dairy products; (2) Promoting business development that diversifies farmer income through processing and marketing innovation; and (3) Encouraging the use of regional milk production."
Regional Food System Partnerships,"RFSP, Partnerships","AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","RFSP is a component of the Local Agricultural Marketing Program (LAMP). RFSP supports partnerships that brings together public and private resources to plan and develop local or regional food systems and encourages food economy viability and resilience. Through RFSP, AMS works together with partners to accelerate local or regional food system growth through increased access to local knowledge and networks. Partners will lead the scope determination of the regional food system to be developed, including goals, outreach objectives, and eligible activities to be carried out, while coordinating with AMS to receive technical and financial assistance."
Trade Mitigation Program Eligible Recipient Agency Operational Funds,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To support the Trade Mitigation Food Purchase and Distribution Program and to help supplement the diets of low-income persons by making funds available to The Emergency Food Assistance Program (TEFAP) eligible recipient agencies for storage and distribution costs of Trade Mitigation Food Purchase and Distribution Program foods. Eligible recipient agencies are local organizations, such as soup kitchens, food banks, and food pantries, including faith-based organizations, that provide food assistance to needy persons."
Micro-Grants for Food Security Program,"Micro-Grants Program, Micro-Grants, MGFSP","AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To increase the quantity and quality of locally grown food through small-scale gardening, herding, and livestock operations in food insecure communities in Alaska, Hawaii, and the insular areas or territories (American Samoa, the Commonwealth of the Northern Mariana Islands, the Commonwealth of Puerto Rico, the Federated States of Micronesia, Guam, the Republic of the Marshall Islands, the Republic of Palau, and the United States Virgin Islands) of the United States that have significant levels of food insecurity and import a significant quantity of food."
"Grants for Agricultural Research, Special Research Grants",Special Research Grants (SRGP),"NATIONAL INSTITUTE OF FOOD AND AGRICULTURE, AGRICULTURE, DEPARTMENT OF","To carry out research, to facilitate or expand promising breakthroughs in areas of the food and agricultural sciences of importance to the nation and to facilitate or expand on-going State-Federal food and agricultural research programs."
Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research Act (M/S) Program,"NATIONAL INSTITUTE OF FOOD AND AGRICULTURE, AGRICULTURE, DEPARTMENT OF","The purpose of this funding is to increase forestry research in the production, utilization, and protection of forestland; to train future forestry scientists; and to involve other disciplines in forestry research.  Funding should also address the high priority issues described in the current M/S Strategic Plan: “Sustaining Healthy and Productive Forests: An Investment in America’s Competitive Position in the Global Marketplace”: (1) science of integration; (2)  forest ecosystem services; (3)  human attitudes and behaviors; (4)  conflict, uncertainty, and decision-making; (5)  technological advancements, productivity, and forest applications; and (6)  urban ecosystems."
Payments to Agricultural Experiment Stations Under the Hatch Act,"Hatch Act and The Hatch Act of 1887 aka
PAYMENTS TO AGRICULTURAL EXPERIMENT STATIONS UNDER THE HATCH ACT:
(A) –The Hatch Act of 1887 (Regular Research) 
(B) – The Hatch Act of 1887 (Multistate Research Fund) ","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE, AGRICULTURE, DEPARTMENT OF","To support agricultural research at State Agricultural Experiment Stations. Its purpose is to promote efficient production, marketing, distribution, and utilization of products of the farm as essential to the health and welfare of people and to promote a sound prosperous agriculture and rural life. Up to 25 percent (25%) of funds to be used for integrated cooperative research and extension activities. 

Two (2) Programs are funded under CFDA 10.203. Specific Objectives are as follows:
 
(A) The Hatch Act of 1887 (Regular Research) 
The Hatch Act of 1887 provides the basis for Federal funding for agricultural research activities at the State Agricultural Experiment Stations in the 50 States, the District of Columbia, and the Insular Areas.
State Agricultural Experiment Stations are eligible for funds appropriated under this Act according to the following formula: The previous year’s base plus the current year increase as follows: 
Three percent (3%) for Federal Administration, 
Twenty percent (20%) equally, 
Twenty-six percent (26%) in an amount which bears the same ratio to the total amount to be allotted as the rural population of the State bears to the total rural population of all the States as determined by the last preceding decennial census; 
Twenty-six percent (26%) t in an amount which bears the same ratio to the total amount to be allotted as the farm population of the State bears to the total farm population of all the States as determined by the last preceding decennial census. Twenty-five percent (25%)  for the Hatch Multistate Research Fund.

(B) The Hatch Act of 1887 (Multistate Research) 
Not less than twenty-five percent (25%) of the total Hatch Act of 1887 funding is allotted to the States for cooperative research employing multidisciplinary approaches in which a State agricultural experiment station, working with another State agricultural experiment station, the Agricultural Research Service, or a college or university, cooperates to solve problems that concern more than one (1) State. These funds are designated as the ‘‘Multistate Research Fund, State Agricultural Experiment Stations.” Funds are allocated on a prorata basis and allocations are adjusted to support national and regional projects. These projects and their associated budgets are reviewed and approved annually.

The 25 percent applies to any amounts appropriated above the level of funding in 1955 (the base year). "
